451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
110704	-	COCA-COLA NRPET 0,5л:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
110707	4600564001015	НАРЗАН Минеральная Вода негаз 1л пл/бут(Нарзан):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
110710	4601557000374	НОВОТЕРСКАЯ Минер вода газ Целеб 1,5л ПЭТ(Кавминводы):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
110712	4600536100951	НАРЗАН Элита Минеральная вода негаз 0,5л с/б(Нарзан):12	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные менее 0,8л
110713	8410179200811	BORGES Масло олив 100% 0,75л с/б (Асеитес BORGES) :6	Бакалея	Растительные масла	Оливковое масло	Рафинированное оливковое масло
110717	-	7UP Напиток 0,33 бан:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
110724	4600494102059	PEPSI Light Напиток газированный 2л ПЭТ(Пепси):6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
110725	4600494309106	MIRINDA Напиток газированный 2л ПЭТ(Пепси):6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
111063	4600080280352	РОТ ФРОНТ Халва ЛАДА 250г:6	Кондитерские изделия	Восточные сладости	Восточные сладости	Халва
111080	4607033684731	Сайра нат. 240- 250г №6 консерва:48	Консервированные продукты	Консервы рыбные	Консервы рыбные натуральные	Консервы из сайры натуральные
111473	4008638213010	LORADO Шампиньоны целые 425г ж/б :12	Консервированные продукты	Консервы овощные и грибные	Грибные консервы	Натуральные грибы
